matrix,matrix_domain,matrix_m,matrix_n,matrix_name,matrix_nnz,matrix_size,normal_spmv_time,oski_mean_max_error,oski_mean_spmv_time,oski_mean_time,phil_mean_max_error,phil_mean_spmv_time,phil_mean_time,pphil_mean_max_error,pphil_mean_spmv_time,pphil_mean_time
crankseg_1_conv,Structural,52804,52804,crankseg_1,10614210,360189241,0.0028097530500000001,0.04974867067677384,0.002431628021699996,0.22988324826000003,0.02437653330550971,0.0024322264199999953,0.03549868283,0.02429828642649183,0.0024322264199999953,0.005054066310000001
flickr_conv,Graph,820878,820878,flickr,9837214,338243604,0.03216259808,0.04249697598373122,0.03216259808000008,0.27958142216000004,0.007648328078728779,0.03216259808000008,0.02699684891,0.007145212877798786,0.03216259808000008,0.00356801541
bmw7st_1_conv,Structural,141347,141347,bmw7st_1,7339667,256271378,0.00179523703,0.03878895235758859,0.0016677414700000017,0.16519526411000002,0.026174351741324674,0.0016677414700000017,0.029169884320000002,0.027506304867094697,0.0016677414700000017,0.00429291153
gearbox_conv,Structural,153746,153746,gearbox,9080404,313052592,0.0023699654700000002,0.035221906547318105,0.001680240800000002,0.20382864252000002,0.023159561206250373,0.001680240800000002,0.03102915561,0.022740181605773527,0.001680240800000002,0.0045490355000000005
BenElechi1_conv,2D/3D Problem,245874,245874,BenElechi1,13150496,467816825,0.0031491296400000001,0.010931708301587208,0.0022403654200000007,0.29054631692,0.023996836230979975,0.0022403654200000007,0.0298427071,0.023191127995237207,0.0022403654200000007,0.00417078168
nd3k_conv,2D/3D Problem,9000,9000,nd3k,3279690,105547522,0.00076969939000000006,0.0383635714500856,0.00048485248280000047,0.07065351057000001,0.030765722108759816,0.00048658611440000055,0.037713547470000004,0.030541104814805098,0.00048311885120000045,0.005383460370000001
af_shell9_conv,Structural,504855,504855,af_shell9,17588875,635349559,0.0040419899800000006,0.007518521549849884,0.0033810895799999976,0.40499215004,0.024583363713041567,0.0033810895799999976,0.02930990236,0.025236434278503847,0.0033810895799999976,0.0045251681900000005
ok2010_conv,Graph,269118,269118,ok2010,1274148,44823434,0.00077101973000000008,0.012590523045382176,0.0007710197300000013,0.04272392123,0.0067995427092452775,0.0007710197300000013,0.02348742166,0.007024636842653895,0.0007710197300000013,0.0035331995800000006
s3dkt3m2_conv,Structural,90449,90449,s3dkt3m2,3753461,128565796,0.00084550200000000004,0.0208546816594081,0.0007133185303000004,0.08428643298,0.03302205257904887,0.0007120698400000006,0.02822343167,0.03273318661319815,0.0007120698400000006,0.00415258098
nd24k_conv,2D/3D Problem,72000,72000,nd24k,28715634,979816003,0.0061834326100000002,0.015733283058711755,0.004993086510000009,0.61520940303,0.03041900877215862,0.004995846399700009,0.05070076471,0.03185152956895198,0.005001366179100008,0.00659297545
ct20stif_conv,Structural,52329,52329,ct20stif,2698463,91956108,0.00065395049000000014,0.06759528379308181,0.00047905334719999945,0.06100695946,0.026298987617997437,0.0004719145327999996,0.029325510780000005,0.025743576381960544,0.0004715348799999996,0.0038638713600000004
gupta1_conv,Linear Programming,31802,31802,gupta1,2164210,71352768,0.00092280951000000004,0.5306760219828937,0.0011272516619000013,0.05364194078000001,0.023717983559727727,0.0011130046800000013,0.03154883272,0.024394603057932923,0.0011130046800000013,0.0046149691000000005
TSOPF_RS_b2383_conv,Power Network,38120,38120,TSOPF_RS_b2383,16171169,552001440,0.0055499461300000004,0.07090008112756493,0.0038558609685,0.32143661842,0.04061653361966118,0.0038553287800000002,0.040800532480000005,0.035589934758677236,0.0038553287800000002,0.00537358847
hugetric-00010_conv,Graph,6592765,6592765,hugetric-00010,19771708,744661825,0.020830666590000001,0.0053099157181112355,0.02083066659,1.1694643849000002,0.009792930748531097,0.02083066659,0.024157600260000002,0.009688729404964349,0.02083066659,0.0036392795700000004
ship_001_conv,Structural,34920,34920,ship_001,4644230,157035896,0.0011394748800000001,0.06348687626843388,0.000980044390199998,0.09975176960000001,0.030634822014175736,0.000973279039999998,0.030006695220000004,0.029938622341869902,0.000973279039999998,0.0053477197
